rec_yds_per_g,gs,rec_yds_per_rec,g,rec_long,rec_td,age,year,catch_pct,pos,rec_yds_per_tgt,fumbles,player,team,rec,rec_yds,rec_per_g,targets
44.8,13,13.0,16,49,4,28,2007,56.7%,WR,7.4,0,Ronald Curry,OAK,55,717,3.4,97
53.1,16,15.4,16,85,5,26,2007,48.7%,WR,7.5,0,Lee Evans,BUF,55,849,3.4,113
46.9,8,13.6,16,73,2,26,2007,64.7%,WR,8.8,1,Justin Gage,TEN,55,750,3.4,85
44.9,14,13.1,16,48,4,26,2007,59.1%,WR,7.7,0,Roydell Williams,TEN,55,719,3.4,93
49.5,5,14.7,16,58,3,33,2007,62.1%,wr,9.1,2,David Patten,NOR,54,792,3.4,87
40.4,12,12.0,16,40,3,26,2007,64.3%,WR,7.7,3,Bobby Wade,MIN,54,647,3.4,84
29.1,15,8.2,15,23,1,24,2007,76.8%,RB,6.3,4,Frank Gore,SFO,53,436,3.5,69
35.5,6,10.0,15,29,4,25,2007,62.4%,wr,6.3,0,Michael Jenkins,ATL,53,532,3.5,85
70.8,13,17.4,13,82,12,24,2007,63.1%,WR,11.0,1,Greg Jennings,GNB,53,920,4.1,84
36.4,14,9.8,14,31,4,23,2007,61.2%,TE,6.0,1,Vernon Davis,SFO,52,509,3.7,85
72.5,13,18.1,13,83,8,23,2007,61.2%,se/WR,11.1,2,Santonio Holmes,PIT,52,942,4.0,85
23.4,5,7.2,16,43,0,29,2007,77.6%,rb,5.6,3,Kenny Watson,CIN,52,374,3.3,67
26.3,5,8.2,16,30,0,28,2007,78.5%,rb,6.5,3,Adrian Peterson,CHI,51,420,3.2,65
48.5,13,14.3,15,54,1,28,2007,66.2%,WR,9.5,3,Antwaan Randle El,WAS,51,728,3.4,77
38.5,9,11.3,15,30,0,27,2007,58.0%,WR,6.6,0,Josh Reed,BUF,51,578,3.4,88
37.5,15,12.0,16,57,5,27,2007,48.1%,WR,5.8,3,Arnaz Battle,SFO,50,600,3.1,104
37.1,15,11.1,15,26,1,31,2007,47.6%,WR,5.3,1,Marty Booker,MIA,50,556,3.3,105
43.4,12,13.9,16,45,9,26,2007,52.1%,WR,7.2,3,Nate Burleson,SEA,50,694,3.1,96
46.5,13,13.9,15,59,7,28,2007,61.7%,WR,8.6,2,Patrick Crayton,DAL,50,697,3.3,81
38.4,12,12.3,16,50,3,33,2007,61.7%,WR,7.6,0,Joe Jurevicius,CLE,50,614,3.1,81
60.1,11,13.5,11,65,4,28,2007,57.6%,WR,7.8,0,Deion Branch,SEA,49,661,4.5,85
21.6,10,6.6,15,21,0,27,2007,71.0%,fb/RB,4.7,1,Earnest Graham,TAM,49,324,3.3,69
34.3,7,11.2,16,41,5,24,2007,75.4%,te,8.4,1,Tony Scheffler,DEN,49,549,3.1,65
33.2,12,11.1,16,52,0,25,2007,53.9%,WR,6.0,0,Mark Clayton,BAL,48,531,3.0,89
50.4,10,15.8,15,49,4,22,2007,51.6%,WR,8.1,1,Calvin Johnson,DET,48,756,3.2,93
27.0,12,7.9,14,22,2,31,2007,76.2%,TE/wr,6.0,1,Eric Johnson,NOR,48,378,3.4,63
38.3,12,12.0,15,60,6,27,2007,76.2%,TE,9.1,1,Donald Lee,GNB,48,575,3.2,63
23.9,8,8.1,16,23,1,31,2007,77.0%,RB,6.3,1,Kevin Faulk,NWE,47,383,2.9,61
42.3,9,14.4,16,79,2,23,2007,58.8%,WR,8.5,3,James Jones,GNB,47,676,2.9,80
35.4,16,12.0,16,29,7,25,2007,77.0%,TE,9.3,0,Heath Miller,PIT,47,566,2.9,61
24.3,16,8.3,16,54,0,26,2007,78.3%,RB,6.5,6,Clinton Portis,WAS,47,389,2.9,60
33.1,15,10.8,15,34,3,29,2007,44.2%,WR,4.8,1,Darrell Jackson,SFO,46,497,3.1,104
33.0,8,11.5,16,30,2,26,2007,52.3%,wr,6.0,0,Bryant Johnson,ARI,46,528,2.9,88
25.4,16,8.8,16,29,2,24,2007,57.5%,TE,5.1,2,Jeff King,CAR,46,406,2.9,80
26.3,15,9.2,16,26,1,26,2007,59.0%,TE,5.4,2,Bo Scaife,TEN,46,421,2.9,78
43.6,9,15.2,16,69,3,27,2007,61.3%,WR,9.3,0,Donte' Stallworth,NWE,46,697,2.9,75
32.4,14,11.5,16,35,3,28,2007,60.8%,WR,7.0,0,Ernest Wilford,JAX,45,518,2.8,74
17.6,0,6.4,16,29,2,24,2007,81.5%,,5.2,3,Marion Barber,DAL,44,282,2.8,54
34.1,16,12.4,16,52,4,30,2007,65.7%,TE,8.1,1,Desmond Clark,CHI,44,545,2.8,67
27.8,16,10.1,16,28,3,22,2007,64.7%,TE,6.5,2,Zach Miller,OAK,44,444,2.8,68
40.1,11,13.7,15,55,4,30,2007,60.3%,WR,8.2,1,Dennis Northcutt,JAX,44,601,2.9,73
44.1,16,16.0,16,59,6,29,2007,43.1%,WR,6.9,0,Jerry Porter,OAK,44,705,2.8,102
