year,player,team,age,pos,g,gs,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td,kick_ret_long,kick_ret_yds_per_ret,all_purpose_yds
2018,Donte Moncrief,JAX,25,WR,16,14,,,,,,1,7,0,7,7.0,675
2018,David Moore,SEA,23,wr,16,7,,,,,,1,18,0,18,18.0,468
2018,Roosevelt Nix,PIT,26,,16,0,,,,,,1,12,0,12,12.0,54
2018,Niles Paul,JAX,29,te,6,1,,,,,,1,8,0,8,8.0,103
2018,,,,,,,,,,,,,,,,,
2018,Aldrick Robinson,MIN,30,,14,0,,,,,,1,21,0,21,21.0,252
2018,Demarcus Robinson,KAN,24,wr,16,5,1,0,0,0,0.0,,,,,,288
2018,Dominique Rodgers-Cromartie,OAK,32,cb,7,1,1,0,0,0,0.0,,,,,,0
2018,Anthony Sherman*,KAN,30,fb,16,1,,,,,,1,5,0,5,5.0,103
2018,Scott Simonson,NYG,26,te,16,4,,,,,,1,12,0,12,12.0,98
2018,Durham Smythe,MIA,23,te,15,2,,,,,,1,0,0,0,0.0,50
2018,Willie Snead,BAL,26,WR,16,10,,,,,,1,13,0,13,13.0,677
2018,Jeremy Sprinkle,WAS,24,te/wr,16,9,,,,,,1,6,0,6,6.0,47
2018,Tre Sullivan,PHI,24,s,12,1,1,0,0,0,0.0,,,,,,0
2018,Logan Thomas,BUF,27,te,12,3,,,,,,1,23,0,23,23.0,100
2018,Michael Thomas*,NYG,28,db/s/ss,16,6,,,,,,1,4,0,4,4.0,30
2018,Roc Thomas,MIN,23,,5,0,,,,,,1,20,0,20,20.0,71
2018,Chris Thompson,WAS,28,,10,0,,,,,,1,0,0,0,0.0,451
2018,Corey Thompson,BUF,25,lb,6,1,,,,,,1,0,0,0,0.0,0
2018,Eric Tomlinson,NYJ,26,TE,15,12,,,,,,1,10,0,10,10.0,82
2018,Marquez Valdes-Scantling,GNB,24,WR,16,10,,,,,,1,21,0,21,21.0,631
2018,Tanner Vallejo,CLE,24,lb,13,1,,,,,,1,2,0,2,2.0,2
2018,Spencer Ware,KAN,27,rb,13,2,,,,,,1,10,0,10,10.0,480
2018,Eric Weddle*,BAL,33,FS,16,16,1,18,0,18,18.0,,,,,,18
2018,Jordan Wilkins,IND,24,rb,16,3,,,,,,1,7,0,7,7.0,428
2018,Brandon Wilson,CIN,24,,16,0,,,,,,1,-3,0,-3,-3.0,-3
2018,Robert Woods,LAR,26,WR,16,16,,,,,,1,0,0,0,0.0,1376
