year,player,team,age,pos,g,gs,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,punt,punt_yds,punt_long,punt_blocked,punt_yds_per_punt
2017,Dustin Hopkins,WAS,27,K,8,0,1,1,7,7,2,2,5,4,2,,17,14,82.4%,19,18,94.7%,,,,,
2017,Connor Barth,CHI,31,K,10,0,1,1,4,4,,,9,5,2,1,16,11,68.8%,17,17,100.0%,,,,,
2017,Jason Myers,JAX,26,k,6,0,,,4,4,3,2,5,5,3,,15,11,73.3%,17,15,88.2%,,,,,
2017,Nick Rose,2TM,23,,10,0,,,6,6,4,3,2,1,2,1,14,11,78.6%,26,23,88.5%,,,,,
2017,Nick Novak,LAC,36,K,7,0,,,4,4,5,4,2,,2,1,13,9,69.2%,18,17,94.4%,,,,,
2017,Mike Nugent,2TM,35,,8,0,,,3,3,4,3,5,4,1,1,13,11,84.6%,17,15,88.2%,,,,,
2017,Nick Folk,TAM,33,k,4,0,,,2,2,2,1,5,2,2,1,11,6,54.5%,9,7,77.8%,,,,,
2017,Travis Coons,LAC,25,k,3,0,,,4,4,3,2,1,1,,,8,7,87.5%,6,5,83.3%,,,,,
2017,Younghoe Koo,LAC,23,k,4,0,,,2,2,,,4,1,,,6,3,50.0%,9,9,100.0%,,,,,
2017,Cairo Santos,2TM,26,,5,0,,,,,4,4,,,1,,5,4,80.0%,14,14,100.0%,,,,,
2017,Sam Ficken,LAR,25,k,2,0,,,2,2,1,,,,,,3,2,66.7%,5,4,80.0%,,,,,
2017,Caleb Sturgis,PHI,28,k,1,0,,,,,1,1,1,1,1,1,3,3,100.0%,2,1,50.0%,,,,,
2017,Brad Wing,NYG,26,P,16,0,,,,,,,,,,,,,,,,,95,4189,69,2,44.1
2017,Lac Edwards,NYJ,25,P,16,0,,,,,,,,,,,,,,,,,94,4378,70,0,46.6
2017,Shane Lechler,HOU,41,P,16,0,,,,,,,,,,,,,,,,,92,4507,68,0,49.0
2017,Jon Ryan,SEA,36,P,16,0,,,,,,,,,,,,,,,,,92,4141,74,0,45.0
2017,Kevin Huber,CIN,32,P,16,0,,,,,,,,,,,,,,,,,88,4101,63,1,46.6
2017,Andy Lee,ARI,35,P,16,0,,,,,,,,,,,,,,,,,88,4159,63,0,47.3
2017,Brad Nortman,JAX,28,P,16,0,,,,,,,,,,,,,,,,,87,3835,65,1,44.1
