year,player,team,age,pos,g,gs,targets,rec,catch_pct,rec_yds,rec_yds_per_rec,rec_td,rec_long,rec_yds_per_tgt,rec_per_g,rec_yds_per_g,fumbles
2018,Noah Brown,DAL,22,wr,8,2,8,5,62.5%,54,10.8,0,22,6.8,0.6,6.8,0
2018,Garrett Celek,SFO,30,te,15,1,8,5,62.5%,90,18.0,2,41,11.3,0.3,6.0,0
2018,Corey Coleman,NYG,24,wr,8,1,8,5,62.5%,71,14.2,0,30,8.9,0.6,8.9,0
2018,Tyler Conklin,MIN,23,te,16,3,7,5,71.4%,77,15.4,0,33,11.0,0.3,4.8,0
2018,Seth Devalve,CLE,25,te,13,4,7,5,71.4%,74,14.8,1,26,10.6,0.4,5.7,0
2018,Devonta Freeman,ATL,26,rb,2,2,7,5,71.4%,23,4.6,0,14,3.3,2.5,11.5,0
2018,Zach Line,NOR,28,fb,16,6,10,5,50.0%,14,2.8,2,5,1.4,0.3,0.9,0
2018,Rishard Matthews,2TM,29,,8,0,9,5,55.6%,24,4.8,0,7,2.7,0.6,3.0,0
2018,Ray-Ray McCloud,BUF,22,fb,10,1,6,5,83.3%,36,7.2,0,16,6.0,0.5,3.6,2
2018,David Morgan,MIN,25,te,11,6,6,5,83.3%,36,7.2,0,13,6.0,0.5,3.3,0
2018,Brian Parker,DEN,26,te,13,1,10,5,50.0%,33,6.6,0,11,3.3,0.4,2.5,0
2018,Joshua Perkins,PHI,25,te,9,1,11,5,45.5%,67,13.4,0,30,6.1,0.6,7.4,0
2018,Eric Saubert,ATL,24,te,16,1,9,5,55.6%,48,9.6,0,17,5.3,0.3,3.0,0
2018,Adam Shaheen,CHI,24,te,6,4,6,5,83.3%,48,9.6,1,23,8.0,0.8,8.0,0
2018,Keith Smith,OAK,26,fb,16,3,6,5,83.3%,23,4.6,0,8,3.8,0.3,1.4,0
2018,Vyncint Smith,HOU,22,wr,7,1,10,5,50.0%,91,18.2,1,35,9.1,0.7,13.0,0
2018,Jeremy Sprinkle,WAS,24,te/wr,16,9,9,5,55.6%,41,8.2,1,15,4.6,0.3,2.6,0
2018,Mark Walton,CIN,21,,14,0,8,5,62.5%,41,8.2,0,24,5.1,0.4,2.9,0
2018,Chad Beebe,MIN,24,,3,0,4,4,100.0%,39,9.8,0,18,9.8,1.3,13.0,0
2018,Nick Bellore,DET,29,fb,14,4,4,4,100.0%,15,3.8,0,8,3.8,0.3,1.1,0
2018,Jawill Davis,NYG,23,,7,0,8,4,50.0%,40,10.0,0,22,5.0,0.6,5.7,0
2018,Jacob Hollister,NWE,25,wr,8,1,5,4,80.0%,52,13.0,0,23,10.4,0.5,6.5,0
2018,Tyler Kroft,CIN,26,te,5,2,6,4,66.7%,36,9.0,0,16,6.0,0.8,7.2,0
2018,Byron Marshall,WAS,24,,6,0,6,4,66.7%,30,7.5,0,17,5.0,0.7,5.0,0
2018,Roosevelt Nix,PIT,26,,16,0,6,4,66.7%,38,9.5,0,19,6.3,0.3,2.4,0
2018,Auden Tate,CIN,21,,7,0,12,4,33.3%,35,8.8,0,15,2.9,0.6,5.0,0
2018,Robert Tonyan,GNB,24,te,16,1,6,4,66.7%,77,19.3,1,54,12.8,0.3,4.8,0
2018,Delanie Walker,TEN,34,te,1,1,7,4,57.1%,52,13.0,0,16,7.4,4.0,52.0,0
2018,Kevin White,CHI,26,,9,0,8,4,50.0%,92,23.0,0,54,11.5,0.4,10.2,0
2018,Jesus Wilson,TAM,23,,5,0,5,4,80.0%,52,13.0,0,25,10.4,0.8,10.4,0
2018,Javon Wims,CHI,24,,4,0,5,4,80.0%,32,8.0,0,16,6.4,1.0,8.0,0
2018,Ameer Abdullah,2TM,25,,10,0,4,3,75.0%,28,9.3,0,12,7.0,0.3,2.8,1
2018,Dwayne Allen,NWE,28,te/wr,13,8,4,3,75.0%,27,9.0,0,21,6.8,0.2,2.1,0
2018,Cameron Artis-Payne,CAR,28,,9,0,4,3,75.0%,15,5.0,0,13,3.8,0.3,1.7,0
2018,Brandon Bolden,MIA,28,,16,0,3,3,100.0%,13,4.3,1,9,4.3,0.2,0.8,1
2018,Ben Braunecker,CHI,24,te,15,2,5,3,60.0%,42,14.0,0,20,8.4,0.2,2.8,0
2018,Orson Charles,CLE,27,te,13,2,5,3,60.0%,23,7.7,0,9,4.6,0.2,1.8,0
